folds,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
ACSF1,0.3309126460907339,0.3808411181560581,0.34379549333097364,0.39352183110977407,0.3472093556275676,0.395064153683701,0.4182147116690464,0.35435595442236206,0.32619657108497996,0.41509392359621117,0.38877658576132895,0.37685766669116716,0.4046851955716228,0.39543787505158484,0.39789313582612323,0.3557790166609051,0.3545724151891805,0.3949831416323497,0.34627285461911034,0.4100458648761678,0.35659390344460024,0.40451645388601115,0.41678150365492184,0.3086777302754939,0.33901691602864725,0.40156483397702336,0.4091932748996733,0.3000756362154244,0.3691789150808401,0.3902583503370382
Adiac,0.6399087449885241,0.62480235716162,0.6161074221934953,0.6264868945800979,0.624032412033949,0.6367999624612521,0.6306966322243839,0.6197169307877682,0.6333430708044213,0.6247017565102522,0.6352414153676611,0.6253924365337187,0.6322790736475994,0.625244179486084,0.6349689507348433,0.6291970292654702,0.6350482516325954,0.6453152429417185,0.6340474275274932,0.6248875715061745,0.6295434511741521,0.6386088892888904,0.6180213972816665,0.6298516275942879,0.6331678859528097,0.6254889490441329,0.6282349483554516,0.627691570362922,0.6275205097734339,0.62721513489477
ArrowHead,0.3963497045467665,0.34860264614456316,0.34860264614456316,0.3486026461445631,0.34860264614456316,0.3486026461445631,0.3963497045467665,0.34860264614456316,0.4200336461550096,0.42003364615500965,0.34860264614456316,0.3963497045467665,0.4200336461550096,0.4200336461550097,0.34860264614456316,0.34860264614456316,0.4200336461550096,0.42003364615500965,0.3486026461445631,0.34860264614456316,0.42003364615500965,0.3486026461445631,0.4200336461550096,0.4200336461550096,0.42003364615500965,0.34860264614456316,0.4200336461550096,0.34860264614456316,0.4200336461550096,0.42003364615500965
