folds,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
ACSF1,0.20921229828174803,0.2345924552291875,0.20594292031049705,0.23002820631496732,0.19592004803657043,0.2529229073515982,0.2796705969547298,0.19610154137053815,0.19476191738700532,0.2863002758040716,0.2575417895017769,0.2391648323627525,0.2879015262037476,0.2362607203972327,0.258935732186402,0.22404850572385873,0.21655320294561894,0.2692964193454451,0.2089336516662403,0.2614316967275377,0.20891689937510574,0.266845361476417,0.28466071904022244,0.16785700481184013,0.18982092344799165,0.2641543224561365,0.2670364513138819,0.18881793607047712,0.23775217143948166,0.26338642400291284
Adiac,0.47547737553175057,0.4525324002276991,0.45492916973221337,0.4638592424308352,0.46042020459339617,0.4840849477681914,0.4741405988319009,0.4594943372811735,0.4721199827731329,0.4706260452054703,0.470385868049145,0.4708841070062089,0.4720767725682452,0.46582908946761964,0.47598724273969273,0.47286978486902476,0.4843272593673119,0.49017905330076195,0.46993735286409033,0.45869491793049316,0.4660663576236126,0.4784646811149284,0.4608506087185471,0.4627913227859679,0.4682958505844013,0.4645926043240022,0.470243525629706,0.456828513654433,0.4651287123678709,0.46794760597829776
ArrowHead,0.35821988620752054,0.3112150978789794,0.3112150978789794,0.3112150978789794,0.3112150978789794,0.3112150978789794,0.35821988620752054,0.3112150978789794,0.3823628393978979,0.38236283939789784,0.3112150978789794,0.35821988620752054,0.38236283939789795,0.38236283939789784,0.3112150978789794,0.3112150978789794,0.38236283939789784,0.38236283939789784,0.3112150978789794,0.3112150978789794,0.38236283939789784,0.3112150978789794,0.3823628393978979,0.38236283939789784,0.38236283939789784,0.3112150978789794,0.38236283939789784,0.3112150978789794,0.3823628393978979,0.38236283939789784
