folds,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
ACSF1,0.12,0.12,0.03,0.01,0.15,0.05,0.13,0.09,0.01,0.21,0.13,0.11,0.16,0.04,0.07,0.14,0.05,0.11,0.12,0.03,0.1,0.02,0.14,0.19,0.1,0.0,0.03,0.04,0.08,0.11
Adiac,0.023076923076923078,0.05128205128205128,0.041025641025641026,0.0641025641025641,0.05128205128205128,0.06923076923076923,0.023076923076923078,0.007692307692307693,0.038461538461538464,0.04358974358974359,0.03076923076923077,0.046153846153846156,0.023076923076923078,0.03076923076923077,0.01282051282051282,0.01282051282051282,0.005128205128205128,0.04358974358974359,0.0641025641025641,0.028205128205128206,0.03333333333333333,0.04871794871794872,0.035897435897435895,0.010256410256410256,0.01282051282051282,0.01282051282051282,0.07692307692307693,0.041025641025641026,0.002564102564102564,0.01282051282051282
ArrowHead,0.1111111111111111,0.3055555555555556,0.19444444444444445,0.5833333333333334,0.3055555555555556,0.1111111111111111,0.6111111111111112,0.2222222222222222,0.5,0.4166666666666667,0.3055555555555556,0.3888888888888889,0.08333333333333333,0.6388888888888888,0.3055555555555556,0.3055555555555556,0.3055555555555556,0.05555555555555555,0.5833333333333334,0.19444444444444445,0.05555555555555555,0.5833333333333334,0.5,0.3055555555555556,0.4166666666666667,0.2222222222222222,0.3055555555555556,0.19444444444444445,0.5,0.05555555555555555
