folds,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
ACSF1,0.06779661016949153,0.09509707140506746,0.06991642272283738,0.08897088970889709,0.0688071287492536,0.08801146029187931,0.12114041018706333,0.07055532999503766,0.06813215066203883,0.10124697561883492,0.11333659013190034,0.09335795104861999,0.1101638723122099,0.10036942313157148,0.11464468001570476,0.07975597721257793,0.06833674164962508,0.11038426127828657,0.07772795216741404,0.0886985486557221,0.06691577545848902,0.10016871535309713,0.14565723386010046,0.061136871028679374,0.06396626743820931,0.09706907925737442,0.10464484920282344,0.06642066420664207,0.09723961957782418,0.09944277753964852
Adiac,0.25691065356969756,0.2415196527338185,0.23038935198119556,0.2294923221432964,0.23297203850249118,0.25058280517569786,0.23398606756640683,0.22660944910154399,0.249681325597552,0.22638586473404368,0.25102819478710703,0.23967207409882693,0.24806832699468262,0.24658631133366643,0.2482432623215195,0.24032094405258272,0.23476353856083976,0.2616073280535126,0.2506441390216758,0.23223794567061024,0.24563449083615568,0.26083735722258716,0.22265067184982695,0.23505274840478235,0.2413889182842948,0.24719595968027777,0.24246459056491296,0.23592235046856216,0.2385313132994514,0.24444612884539052
ArrowHead,0.2963970088375255,0.2681517284858674,0.2681517284858674,0.2681517284858674,0.2681517284858674,0.2681517284858674,0.2963970088375255,0.2681517284858674,0.3393733484333711,0.3393733484333711,0.2681517284858674,0.2963970088375255,0.3393733484333711,0.3393733484333711,0.2681517284858674,0.2681517284858674,0.3393733484333711,0.3393733484333711,0.2681517284858674,0.2681517284858674,0.3393733484333711,0.2681517284858674,0.3393733484333711,0.3393733484333711,0.3393733484333711,0.2681517284858674,0.3393733484333711,0.2681517284858674,0.3393733484333711,0.3393733484333711
