folds,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
ACSF1,0.0680786686838124,0.095616211745244,0.06635802469135803,0.08632199968948921,0.0667409263900492,0.08333333333333333,0.1167608286252354,0.06742289645118674,0.06474258970358815,0.10164088138771683,0.10902296955709419,0.0907088122605364,0.10602571483400498,0.09645341150773122,0.11020222676664394,0.0763435003631082,0.06558223599277047,0.11106239953236885,0.07450224791265253,0.08742854397847913,0.06305837453378436,0.09675844561609061,0.141436738752175,0.05861664712778429,0.06189958310676092,0.09752402594328458,0.10509031198686371,0.06348020911127707,0.09302325581395349,0.09997118985883031
Adiac,0.25827355958595893,0.24258813087646852,0.22914683928337526,0.23003315567257535,0.23382855914715275,0.2517658374078536,0.23511164301965154,0.2255395415088289,0.2485338125188213,0.2271482836052374,0.2519143018807807,0.2408287767942315,0.24932712397877696,0.24745710789733172,0.24949571690185618,0.23909758618255472,0.23559691534866525,0.2603486179307835,0.25161661747959707,0.2331020762732109,0.2464925719638938,0.2596899182795019,0.22369299123253333,0.23584011538829788,0.24219667448067714,0.2481345564883484,0.24136983338221607,0.23672407797855818,0.2374794863491657,0.24282196935813216
ArrowHead,0.3037712391214256,0.2747326203208556,0.2747326203208556,0.2747326203208556,0.2747326203208556,0.2747326203208556,0.3037712391214256,0.2747326203208556,0.35198229019923527,0.35198229019923527,0.2747326203208556,0.3037712391214256,0.35198229019923527,0.35198229019923527,0.2747326203208556,0.2747326203208556,0.35198229019923527,0.35198229019923527,0.2747326203208556,0.2747326203208556,0.35198229019923527,0.2747326203208556,0.35198229019923527,0.35198229019923527,0.35198229019923527,0.2747326203208556,0.35198229019923527,0.2747326203208556,0.35198229019923527,0.35198229019923527
